g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YNL206C	3.9718060970016E-06	4.36380052416E-06	3.7142797561056E-06	2.8123912252656E-06	2.944357659936E-06	2.540671605912E-06
YNL201C	3.05849310242E-06	3.226779623424E-06	2.791470486168E-06	3.0221348108112E-06	3.1350360844656E-06	3.1321850422016E-06
YNL194C	3.1258173625074E-06	3.116267952336E-06	2.8510141921074E-06	1.6432542581994E-05	1.63414453310064E-05	1.50464811910248E-05
YIL051C	0.00035837901299304	0.0003565802082528	0.00030660343663356	0.00040466600596728	0.00042106488829776	0.00041474497519332
YIL050W	6.767771711744E-07	8.86146851072E-07	6.909626880288E-07	8.292212851104E-07	8.128165152768E-07	8.730774371264E-07
YMR038C	1.822972014864E-05	1.878073561728E-05	1.594706680476E-05	1.8914043552768E-05	1.925893582704E-05	1.847582172072E-05
YMR132C	1.0441971752424E-06	1.064274633408E-06	9.42436262628E-07	1.0963548175599E-06	1.1653299183924E-06	1.1562814200837E-06
YMR134W	9.37876783986E-06	0.0000094676424696	8.4940633980225E-06	1.57515268607775E-05	1.673106478227E-05	1.5202689068025E-05
YMR135C	7.5872424974544E-07	7.40975137056E-07	7.0582354491528E-07	1.7305943958072E-06	2.16428848533216E-06	2.00911979352744E-06
YMR140W	1.082694438333E-06	1.16375567112E-06	9.940455688365E-07	1.300826485359E-06	0.0000013690558737	1.17299441295E-06
YMR142C	0.17917771424454	0.2004869515068	0.170513543372332	0.0012465212668425	0.00631121518593	0.000021851145675
YMR145C	8.9709373421184E-05	9.307861989888E-05	8.1869761043136E-05	0.0002370755398176	0.000259189575245568	0.000229445793589056
YMR146C	5.9097951290664E-06	6.258798159768E-06	5.3047503554652E-06	1.173658579209E-06	1.3934764902924E-06	1.3638560169528E-06
YMR148W	2.9364636880256E-06	3.034714195072E-06	2.588317006608E-06	2.4347283184512E-06	2.8015611733824E-06	2.5447009280048E-06
YMR314W	4.8593497757184E-05	5.065107683328E-05	4.5835548558336E-05	0.000101983660229376	0.00010305307897344	9.990995845248E-05
YOL038W	9.1062666006576E-05	0.00010071694996384	8.0947633252032E-05	7.9292016843588E-05	9.3133298472768E-05	7.9329652265148E-05
YMR313C	0.0000025857200576	2.6449458280448E-06	2.2698099553536E-06	1.36592087629824E-06	1.5382183168512E-06	1.40623451327232E-06
YJL094C	1.3876435788432E-06	1.40092507632E-06	1.3242396982149E-06	8.610182336241E-07	8.492490984456E-07	5.442636157185E-07
YDR006C	7.67337493728E-07	8.0918152224E-07	9.0285046956E-07	1.383525899028E-06	1.324180688688E-06	1.236021543666E-06
YIL030C	9.2492951383296E-06	1.0063704627872E-05	8.5235800848984E-06	1.05787347793704E-05	1.09117357806672E-05	1.04274372947328E-05
YLR372W	0.000112140278218332	0.00011850160611744	9.6403324078152E-05	5.7112520868468E-05	5.7886781124744E-05	5.8670900083692E-05
YDL007W	0.00021082508786784	0.0002229997976192	0.000188958084679008	0.00014782816388592	0.000157898176850304	0.000148299535026304
YPL074W	1.7561579156016E-06	1.7987081046144E-06	1.57396219790544E-06	2.76563068730928E-06	3.10297618927296E-06	2.9047449478824E-06
YJL053W	1.511352088544E-06	1.53484056096E-06	1.28905894305E-06	1.91342480238E-06	1.90725280176E-06	1.776235525322E-06
YOL094C	5.0357016770528E-06	5.25940830688E-06	4.660529541291E-06	5.5079729120286E-06	5.66007463671E-06	4.9180845232545E-06
YGR270W	5.93292037363168E-06	6.0488829312912E-06	5.48027954617572E-06	5.35401645586236E-06	5.58773600786544E-06	5.48633868303092E-06
YMR089C	2.36932808222784E-05	2.4745558304768E-05	2.13747850708992E-05	3.77402049757296E-05	4.18342147626048E-05	3.8175399433592E-05
YNR006W	8.2038993931872E-06	8.334085272128E-06	7.2221239605024E-06	9.6981791138928E-06	1.04802976883328E-05	9.4111438773024E-06
YNR007C	8.966481110936E-07	9.971432174592E-07	8.2323139259016E-07	2.37217382547624E-06	2.80758137165856E-06	2.34016695551248E-06
YNR008W	7.2906929819856E-06	8.009544760896E-06	6.959496802896E-06	9.6109894813464E-06	9.8698318295616E-06	9.4516032544584E-06
YPR073C	1.242953331059E-05	0.0000130995536056	1.1985934997025E-05	4.576392217485E-06	4.98557175798E-06	4.742677773075E-06
YJR068W	0.0000172139178959	0.000017854141256	1.569506368365E-05	3.478187247165E-05	0.000022734190311	0.0000222240719894
YPL227C	5.03171170784E-06	0.0000050945370056	4.44736210833E-06	6.81087307869E-06	6.76225133976E-06	6.60210177029E-06
YJR035W	1.2117542380164E-06	1.220247137088E-06	1.080088049241E-06	2.2736783783079E-06	2.306274965046E-06	2.2982447780181E-06
YJR062C	3.261789367746E-07	3.465540468936E-07	2.9760442675119E-07	6.5322856148472E-07	6.8656274785332E-07	6.8592238724958E-07
YGL025C	3.3815547894042E-06	0.0000038584117334	3.2811742147599E-06	2.9133652105413E-06	3.3482464595424E-06	3.1418833013814E-06
